series,ym,ton,ton_ytd,ton_ytd_bfyear
fresh,199412,0.0,0.0,0.0
fresh,199501,0.0,0.0,0.0
fresh,199502,0.0,0.0,0.0
fresh,199503,0.0,0.0,0.0
fresh,199504,0.0,0.0,0.0
fresh,199505,0.0,0.0,0.0
fresh,199506,0.0,0.0,0.0
fresh,199507,0.0,0.0,0.0
fresh,199508,0.0,0.0,0.0
fresh,199509,0.0,0.0,0.0
fresh,199510,0.0,0.0,0.0
fresh,199511,0.0,0.0,0.0
fresh,199512,0.0,0.0,0.0
fresh,199601,0.0,0.0,0.0
fresh,199602,0.0,0.0,0.0
fresh,199603,0.0,0.0,0.0
fresh,199604,0.0,0.0,0.0
fresh,199605,0.0,0.0,0.0
fresh,199606,0.0,0.0,0.0
fresh,199607,0.0,0.0,0.0
fresh,199608,0.0,0.0,0.0
fresh,199609,0.0,0.0,0.0
fresh,199610,0.0,0.0,0.0
fresh,199611,0.0,0.0,0.0
fresh,199612,0.0,0.0,0.0
fresh,199701,0.0,0.0,0.0
fresh,199702,0.0,0.0,0.0
fresh,199703,0.0,0.0,0.0
fresh,199704,0.0,0.0,0.0
fresh,199705,0.0,0.0,0.0
fresh,199706,0.0,0.0,0.0
fresh,199707,0.0,0.0,0.0
fresh,199708,0.0,0.0,0.0
fresh,199709,0.0,0.0,0.0
fresh,199710,0.0,0.0,0.0
fresh,199711,0.0,0.0,0.0
fresh,199712,0.0,0.0,0.0
fresh,199801,0.0,0.0,0.0
fresh,199802,0.0,0.0,0.0
fresh,199803,0.0,0.0,0.0
fresh,199804,0.0,0.0,0.0
fresh,199805,0.0,0.0,0.0
fresh,199806,0.0,0.0,0.0
fresh,199807,0.0,0.0,0.0
fresh,199808,0.0,0.0,0.0
fresh,199809,0.0,0.0,0.0
fresh,199810,0.0,0.0,0.0
fresh,199811,0.0,0.0,0.0
fresh,199812,0.0,0.0,0.0
fresh,199901,0.0,0.0,0.0
fresh,199902,0.0,0.0,0.0
fresh,199903,0.0,0.0,0.0
fresh,199904,0.0,0.0,0.0
fresh,199905,0.0,0.0,0.0
fresh,199906,0.0,0.0,0.0
fresh,199907,0.0,0.0,0.0
fresh,199908,0.0,0.0,0.0
fresh,199909,0.0,0.0,0.0
fresh,199910,0.0,0.0,0.0
fresh,199911,0.0,0.0,0.0
fresh,199912,0.0,0.0,0.0
fresh,200001,0.0,0.0,0.0
fresh,200002,0.0,0.0,0.0
fresh,200003,0.0,0.0,0.0
fresh,200004,0.0,0.0,0.0
fresh,200005,0.0,0.0,0.0
fresh,200006,0.0,0.0,0.0
fresh,200007,0.0,0.0,0.0
fresh,200008,0.0,0.0,0.0
fresh,200009,0.0,0.0,0.0
fresh,200010,0.0,0.0,0.0
fresh,200011,0.0,0.0,0.0
fresh,200012,0.0,0.0,0.0
fresh,200101,0.0,0.0,0.0
fresh,200102,0.0,0.0,0.0
fresh,200103,0.0,0.0,0.0
fresh,200104,0.0,0.0,0.0
fresh,200105,0.0,0.0,0.0
fresh,200106,0.0,0.0,0.0
fresh,200107,0.0,0.0,0.0
fresh,200108,0.0,0.0,0.0
fresh,200109,0.0,0.0,0.0
fresh,200110,0.0,0.0,0.0
fresh,200111,0.0,0.0,0.0
fresh,200112,0.0,0.0,0.0
fresh,200201,0.0,0.0,0.0
fresh,200202,0.0,0.0,0.0
fresh,200203,0.0,0.0,0.0
fresh,200204,0.0,0.0,0.0
fresh,200205,0.0,0.0,0.0
fresh,200206,0.0,0.0,0.0
fresh,200207,0.0,0.0,0.0
fresh,200208,0.0,0.0,0.0
fresh,200209,0.0,0.0,0.0
fresh,200210,0.0,0.0,0.0
fresh,200211,0.0,0.0,0.0
fresh,200212,0.0,0.0,0.0
fresh,200301,0.0,0.0,0.0
fresh,200302,0.0,0.0,0.0
fresh,200303,49.0,49.0,0.0
fresh,200304,0.0,49.0,0.0
fresh,200305,0.0,49.0,0.0
fresh,200306,0.0,49.0,0.0
fresh,200307,0.0,50.0,0.0
fresh,200308,0.0,50.0,0.0
fresh,200309,0.0,50.0,0.0
fresh,200310,0.0,50.0,0.0
fresh,200311,0.0,50.0,0.0
fresh,200312,0.0,50.0,0.0
fresh,200401,0.0,0.0,0.0
fresh,200402,0.0,0.0,0.0
fresh,200403,0.0,0.0,49.0
fresh,200404,0.0,0.0,49.0
fresh,200405,0.0,0.0,49.0
fresh,200406,0.0,0.0,49.0
fresh,200407,0.0,0.0,50.0
fresh,200408,0.0,0.0,50.0
fresh,200409,0.0,0.0,50.0
fresh,200410,0.0,0.0,50.0
fresh,200411,0.0,0.0,50.0
fresh,200412,0.0,0.0,50.0
fresh,200501,0.0,0.0,0.0
fresh,200502,0.0,0.0,0.0
fresh,200503,12.0,12.0,0.0
fresh,200504,13.0,25.0,0.0
fresh,200505,10.0,36.0,0.0
fresh,200506,0.0,36.0,0.0
fresh,200507,0.0,36.0,0.0
fresh,200508,0.0,36.0,0.0
fresh,200509,0.0,36.0,0.0
fresh,200510,0.0,36.0,0.0
fresh,200511,0.0,36.0,0.0
fresh,200512,0.0,36.0,0.0
fresh,200601,0.0,0.0,0.0
fresh,200602,0.0,0.0,0.0
fresh,200603,14.0,14.0,12.0
fresh,200604,0.0,14.0,25.0
fresh,200605,0.0,14.0,36.0
fresh,200606,0.0,14.0,36.0
fresh,200607,0.0,14.0,36.0
fresh,200608,0.0,14.0,36.0
fresh,200609,0.0,14.0,36.0
fresh,200610,0.0,14.0,36.0
fresh,200611,0.0,14.0,36.0
fresh,200612,0.0,14.0,36.0
fresh,200701,0.0,0.0,0.0
fresh,200702,0.0,0.0,0.0
fresh,200703,0.0,0.0,14.0
fresh,200704,0.0,0.0,14.0
fresh,200705,0.0,0.0,14.0
fresh,200706,0.0,0.0,14.0
fresh,200707,0.0,0.0,14.0
fresh,200708,0.0,0.0,14.0
fresh,200709,1.0,1.0,14.0
fresh,200710,1.0,2.0,14.0
fresh,200711,0.0,2.0,14.0
fresh,200712,0.0,2.0,14.0
fresh,200801,0.0,0.0,0.0
fresh,200802,0.0,0.0,0.0
fresh,200803,1.0,1.0,0.0
fresh,200804,9.0,10.0,0.0
fresh,200805,0.0,10.0,0.0
fresh,200806,0.0,10.0,0.0
fresh,200807,0.0,10.0,0.0
fresh,200808,0.0,10.0,0.0
fresh,200809,0.0,10.0,1.0
fresh,200810,0.0,10.0,2.0
fresh,200811,0.0,10.0,2.0
fresh,200812,0.0,10.0,2.0
fresh,200901,0.0,0.0,0.0
fresh,200902,0.0,0.0,0.0
fresh,200903,0.0,0.0,1.0
fresh,200904,0.0,0.0,10.0
fresh,200905,0.0,0.0,10.0
fresh,200906,0.0,0.0,10.0
fresh,200907,0.0,0.0,10.0
fresh,200908,0.0,0.0,10.0
fresh,200909,0.0,0.0,10.0
fresh,200910,0.0,0.0,10.0
fresh,200911,0.0,0.0,10.0
fresh,200912,0.0,0.0,10.0
fresh,201001,0.0,0.0,0.0
fresh,201002,0.0,0.0,0.0
fresh,201003,0.0,0.0,0.0
fresh,201004,0.0,0.0,0.0
fresh,201005,14.0,14.0,0.0
fresh,201006,0.0,14.0,0.0
fresh,201007,0.0,14.0,0.0
fresh,201008,0.0,14.0,0.0
fresh,201009,0.0,14.0,0.0
fresh,201010,0.0,14.0,0.0
fresh,201011,0.0,14.0,0.0
fresh,201012,0.0,14.0,0.0
fresh,201101,0.0,0.0,0.0
fresh,201102,0.0,0.0,0.0
fresh,201103,0.0,0.0,0.0
fresh,201104,0.0,0.0,0.0
fresh,201105,0.0,0.0,14.0
fresh,201106,0.0,0.0,14.0
fresh,201107,0.0,0.0,14.0
fresh,201108,0.0,0.0,14.0
fresh,201109,0.0,0.0,14.0
fresh,201110,13.0,13.0,14.0
fresh,201111,0.0,13.0,14.0
fresh,201112,0.0,13.0,14.0
fresh,201201,2.0,2.0,0.0
fresh,201202,0.0,2.0,0.0
fresh,201203,0.0,2.0,0.0
fresh,201204,0.0,2.0,0.0
fresh,201205,0.0,2.0,0.0
fresh,201206,0.0,2.0,0.0
fresh,201207,2.0,4.0,0.0
fresh,201208,0.0,4.0,0.0
fresh,201209,0.0,4.0,0.0
fresh,201210,0.0,4.0,13.0
fresh,201211,0.0,4.0,13.0
fresh,201212,0.0,4.0,13.0
fresh,201301,0.0,0.0,2.0
