DATE,val,yearAvg,bfYear
201510하순,34808,65190,77369
201511상순,37629,72687,85657
201511중순,32627,65181,73734
201511하순,26668,62074,79589
201512상순,29328,73202,86147
201512중순,41992,67889,94965
201512하순,34088,63894,124489
201601상순,38942,63271,154405
201601중순,38273,71387,157506
201601하순,63615,80955,154374
201602상순,101250,76850,175879
201602중순,73787,84428,173102
201602하순,51193,71633,74575
201603상순,82499,98337,85267
201603중순,82539,106498,86208
201603하순,78291,120836,127341
201604상순,93759,132387,152028
201604중순,66832,142863,175858
201604하순,40675,103054,112493
201605상순,42233,58286,64217
201605중순,41200,37737,39486
201605하순,40285,44957,69076
201606상순,50193,49395,96576
201606중순,35192,49705,51255
201606하순,32294,48409,55626
201607상순,35199,36692,43501
201607중순,31157,32880,32240
201607하순,27662,31707,30087
201608상순,21399,30502,26398
201608중순,19260,26733,22143
201608하순,20717,24174,20222
201609상순,25807,31753,21148
201609중순,39611,41076,26152
201609하순,28409,46588,36751
201610상순,57389,43884,31277
201610중순,63932,62656,41408
201610하순,100006,59784,34808
201611상순,139807,63522,37629
201611중순,160399,53892,32627
201611하순,96967,50697,26668
201612상순,128863,60252,29328
201612중순,175710,56677,41992
201612하순,145298,62578,34088
201701상순,91519,62665,38942
201701중순,79952,71387,38273
201701하순,95090,80955,63615
201702상순,63474,90997,101250
201702중순,47142,92837,73787
201702하순,41871,71684,51193
201703상순,81613,98525,82499
201703중순,91620,106498,82539
201703하순,82349,120836,78291
201704상순,107948,134930,93759
201704중순,100521,131279,66832
201704하순,54930,86507,40675
201705상순,40546,52899,42233
201705중순,44278,40410,41200
201705하순,80237,46067,40285
201706상순,69074,51621,50193
201706중순,44252,49705,35192
201706하순,44579,45465,32294
201707상순,46606,36278,35199
201707중순,32158,32332,31157
201707하순,37090,28361,27662
201708상순,31030,25134,21399
201708중순,28430,23123,19260
201708하순,33634,21743,20717
201709상순,60267,29042,25807
201709중순,65237,38612,39611
201709하순,89675,38525,28409
201710상순,152557,43884,57389
201710중순,64773,59388,63932
201710하순,70430,65138,100006
201711상순,71697,72687,139807
201711중순,58843,65181,160399
201711하순,59667,62074,96967
201712상순,77140,71413,128863
201712중순,78289,70866,175710
201712하순,58662,85201,145298
201801상순,43262,73207,91519
201801중순,33163,72736,79952
201801하순,35065,84144,95090
201802상순,37600,86271,63474
201802중순,42730,83134,47142
201802하순,40911,58936,41871
201803상순,80031,83234,81613
201803중순,105473,94337,91620
201803하순,163534,101219,82349
201804상순,137143,117912,107948
201804중순,107685,114404,100521
201804하순,86940,67319,54930
201805상순,88369,45009,40546
201805중순,59073,40410,44278
201805하순,44135,53216,80237
201806상순,60454,56142,69074
201806중순,55845,47370,44252
201806하순,59889,41783,44579
201807상순,59681,37628,46606
201807중순,50453,31856,32158
201807하순,50768,28361,37090
201808상순,46848,25134,31030
201808중순,43357,23123,28430
201808하순,40258,21743,33634
201809상순,33618,30338,60267
201809중순,55919,39332,65237
201809하순,55062,38525,89675
201810상순,62575,45272,152557
201810중순,86615,58862,64773
201810하순,114367,69133,70430
201811상순,123091,72253,71697
201811중순,73379,63463,58843
201811하순,56808,65443,59667
201812상순,51802,81361,77140
201812중순,42591,81414,78289
201812하순,38844,84694,58662
201901상순,44388,67613,43262
201901중순,45838,65660,33163
201901하순,57953,81395,35065
201902상순,80999,74511,37600
201902중순,52629,56497,42730
201902하순,62141,48035,40911
201903상순,78235,82016,80031
201903중순,69015,94337,105473
201903하순,69553,118017,163534
201904상순,62469,132373,137143
201904중순,61441,128021,107685
201904하순,59410,82741,86940
201905상순,54180,52899,88369
201905중순,41830,42008,59073
201905하순,39473,54499,44135
201906상순,58513,59907,60454
201906중순,66855,48828,55845
201906하순,58502,47275,59889
201907상순,40067,41769,59681
201907중순,43086,36048,50453
201907하순,32937,31613,50768
201908상순,31154,28023,46848
201908중순,24364,24793,43357
201908하순,21304,25725,40258
201909상순,32305,31122,33618
201909중순,24810,42304,55919
201909하순,39357,47409,55062
201910상순,76778,55705,62575
201910중순,59317,67480,86615
201910하순,57145,82602,114367
201911상순,65467,93482,123091
201911중순,77930,68652,73379
201911하순,72404,65355,56808
201912상순,72799,71696,51802
201912중순,63319,71949,42591
201912하순,54974,73998,38844
202001상순,47186,59723,44388
202001중순,57000,54688,45838
202001하순,66500,72219,57953
202002상순,39467,81907,80999
202002중순,58165,57853,52629
202002하순,75161,51735,62141
202003상순,91086,81381,78235
202003중순,116695,86789,69015
202003하순,112732,95994,69553
202004상순,121487,112950,62469
202004중순,101010,91679,61441
202004하순,61243,67093,59410
202005상순,46705,53543,54180
202005중순,35356,42436,41830
202005하순,50496,51166,39473
202006상순,50662,62680,58513
202006중순,58150,50451,66855
202006하순,41577,52902,58502
202007상순,50369,43391,40067
202007중순,37689,35828,43086
202007하순,41586,33371,32937
202008상순,50705,29527,31154
