DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
202310하순,홍고추,광주광역시 광주 남구,21,전라남도 나주시,13,47,81
202311상순,홍고추,광주광역시 광주 남구,28,전라남도 나주시,10,40,79
202311중순,홍고추,광주광역시 광주 남구,28,전라남도 나주시,11,20,60
202311하순,홍고추,광주광역시 광주 남구,29,전라남도 나주시,14,20,62
202312상순,홍고추,광주광역시 광주 남구,14,전라남도 나주시,12,20,47
202312중순,홍고추,광주광역시 광주 남구,20,경상남도 진주시,12,26,57
202312하순,홍고추,경상남도 진주시,19,광주광역시 광주 남구,15,21,55
202401상순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,9,6,43
202401중순,홍고추,경상남도 진주시,41,광주광역시 광주 남구,4,4,49
202401하순,홍고추,경상남도 진주시,40,광주광역시 광주 남구,6,3,49
202402상순,홍고추,경상남도 진주시,45,광주광역시 광주 남구,8,14,67
202402중순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,5,7,41
202402하순,홍고추,경상남도 진주시,17,광주광역시 광산구,6,9,31
202403상순,홍고추,광주광역시 광주 남구,21,경상남도 진주시,20,11,51
202403중순,홍고추,경상남도 진주시,32,광주광역시 광주 남구,15,9,56
202403하순,홍고추,경상남도 진주시,25,광주광역시 광주 남구,24,6,55
202404상순,홍고추,경상남도 진주시,37,광주광역시 광주 남구,18,5,60
202404중순,홍고추,경상남도 진주시,41,광주광역시 광주 남구,3,2,46
202404하순,홍고추,경상남도 진주시,52,경상남도 밀양시,2,2,56
202405상순,홍고추,경상남도 진주시,89,경상남도 밀양시,2,2,93
202405중순,홍고추,경상남도 진주시,84,경상남도 밀양시,6,1,91
202405하순,홍고추,경상남도 진주시,87,경상남도 밀양시,13,2,102
202406상순,홍고추,경상남도 진주시,76,경상남도 밀양시,34,2,112
202406중순,홍고추,경상남도 진주시,76,경상남도 밀양시,45,3,124
202406하순,홍고추,경상남도 진주시,63,경상남도 밀양시,59,8,130
202407상순,홍고추,경상남도 진주시,85,경상남도 밀양시,56,18,159
202407중순,홍고추,경상남도 진주시,76,경상남도 밀양시,28,26,130
202407하순,홍고추,경상남도 진주시,33,경상남도 밀양시,19,90,142
202408상순,홍고추,강원도 홍천군,69,강원도 평창군,26,178,273
202408중순,홍고추,강원도 홍천군,84,강원도 평창군,49,169,302
202408하순,홍고추,강원도 평창군,54,강원도 홍천군,40,115,210
202409상순,홍고추,강원도 평창군,49,강원도 양구군,22,76,147
202409중순,홍고추,강원도 평창군,31,강원도 인제군,11,37,79
202409하순,홍고추,강원도 평창군,30,강원도 인제군,11,41,81
